"","long","lat","el","dc","air_temp","smb","rating"
"9807514",4.35,-72.866666,2878,206.635854635929,252.942535355055,24,1
"22687855",12.783333,-74.65,3408,436.744151425071,242.687102639098,41,1
"13437158",-9.7,-73.366666,1256,122.320606800591,263.292110938988,140,1
"19126583",7.216666,-74.4,3169.5,389.721105560156,246.03329090045,53,1
"19026307",1.966666,-74.5,2847.5,324.243185699186,247.080350602062,91,1
"21628897",-2.55,-74.866666,2818,348.236377412794,248.786698981862,46,1
"22499624",3.916666,-74.966666,3023,391.414562822626,246.534094375424,59,1
"23583397",8.016666,-75,3235.5,455.578986622731,245.488741988206,50,1
"22499066",0.016666,-75,2885,371.64576066362,246.778600013774,71,1
"26338612",11.35,-75.216666,3355.5,499.265040382383,243.231858759151,47,1
"27191225",-3.433333,-75.583333,2668.5,350.152381982508,249.346149081621,57,1
"28509566",3.283333,-75.75,2965,468.218099087706,246.549415853321,60,1
"30729087",7.216666,-75.933333,3145.5,528.465983019641,244.918243945064,45,1
"1777547",-8.433333,-70.716666,51.5,43.8620939600842,273.662119938872,317,1
"18566780",-9.75,-74.216666,1344.5,124.374978289728,260.190323245828,125,1
"19026307.1",1.966666,-74.5,2847.5,324.243185699186,247.080350602062,89,1
"20376920",4,-74.666666,2977.5,361.740560043696,246.545744898622,86,1
"20717763",1,-74.75,2883,346.211447085122,246.698653043012,68,1
"22604429",-8.5,-74.85,2554.5,185.028432955881,254.631479860641,76,1
"22168122",-1.5,-74.95,2838,367.943862629249,247.74059492071,53,1
"22499068",0.033333,-75,2886,371.66033173339,246.778600207874,62,1
"22499068.1",0.033333,-75,2886,371.66033173339,246.778600207874,67,1
"22499066.1",0.016666,-75,2885,371.64576066362,246.778600013774,62,1
"22833632",-4.5,-75,2744,297.587621134911,250.4119,47,1
"23199811",-6.5,-75,2635,244.063997378569,251.92516981259,62,1
"23827685",6.5,-75.083333,3161,437.316669206697,246.109271696106,58,1
"23214726",2.5,-75.083333,2973,390.938711288713,246.524394186962,64,1
"24458371",6.5,-75.166666,3165.5,445.126062490483,246.052488068462,47,1
"24154842",5,-75.166666,3103.5,424.365842701248,246.46422644135,48,1
"23758702",-1,-75.166666,2839.5,390.674422644842,247.589857883406,44,1
"25084945",6.5,-75.25,3161.5,452.990380973763,245.988428569705,38,1
"24984849",-6,-75.25,2630.5,269.306171160886,251.842286492513,50,1
"27191225.1",-3.433333,-75.583333,2668.5,350.152381982508,249.346149081621,59,1
"30754411",-57.685,-64.201666,1512.5,48.853088187816,278.683799109461,620,1
"338506165",139.898544,-66.695922,25,4.88702809482402,270.914141475584,1.17,1
"338465444",139.869003,-66.698478,112,5.61683520397037,270.85185137711,138.67,1
"338479047",139.880127,-66.698486,81,5.45261892330732,270.853442318826,113.4,1
"338492616",139.891479,-66.698608,51,5.27191319826342,270.852511567732,45.6,1
"338451828",139.854523,-66.699333,139,5.970283113981,270.830124254359,228,1
"338431395",139.839798,-66.700668,170,6.42044352324004,270.79729386974,351.17,1
"338410951",139.823624,-66.701988,193,6.94156719885308,270.764374778715,195.5,1
"338390491",139.808792,-66.703491,213,7.47099410936835,270.727264863665,160.83,1
"338383666",139.802109,-66.705513,220,7.82266209440312,270.679359432289,441.17,1
"338356354",139.783768,-66.706886,244,8.42884548216444,270.644158081574,335,1
"338342687",139.774628,-66.708938,255,8.84724387229975,270.594604375211,216.67,1
"338329015",139.762772,-66.710899,267,9.3306755911945,270.546387358987,447.5,1
"338287969",139.739975,-66.715972,302,10.394864474486,270.422093190691,546.67,1
"338253726",139.723724,-66.722152,331,11.3801665805734,270.271453120064,440.17,1
"338219452",139.699875,-66.726837,358,12.4629986161312,270.153339349673,348.17,1
"338178296",139.677048,-66.731636,416,13.538264647633,270.031617704052,364.5,1
"338143980",139.655716,-66.736763,472,14.2617209829544,269.901321972178,434.33,1
"338109641",139.633621,-66.74189,505,15.0214516055989,269.769866530653,348.83,1
"338068415",139.608719,-66.746559,530,15.8119365292726,269.647952257076,163,1
"338034063",139.5914,-66.75196,546,16.6183884857018,269.509822252319,51.5,1
"337999751",139.578308,-66.760154,562,17.6686019121681,269.304041160558,353.83,1
"337965384",139.567749,-66.767456,574,18.5901505578891,268.834636242285,486.33,1
"337931073",139.556824,-66.774955,585,19.5391071670651,268.648049951805,607,1
"337896798",139.545898,-66.783577,599,20.6056991259438,268.435854460202,836.5,1
"337862528",139.53212,-66.79026,610,21.518392109078,268.270650173163,250.5,1
"337828313",139.520401,-66.79795,623,22.5038306962131,268.084225047934,392.33,1
"337794123",139.509323,-66.805938,635,23.5100268975685,267.893614448031,370.67,1
"337759935",139.496826,-66.813079,647,24.4541720870797,267.724504104908,423.67,1
"337725722",139.485672,-66.820678,660,25.4231688582093,267.548366601223,595,1
"337691482",139.475037,-66.828445,672,26.4006764728265,267.371998248507,685,1
"337657167",139.462341,-66.83596,689,27.3891586487656,267.203606785509,249,1
"337622813",139.449539,-66.843345,710,28.3673780081516,267.041432939739,645.67,1
"337588470",139.438278,-66.851356,738,29.3819454974987,266.870899304019,492.33,1
"337554108",139.425079,-66.858642,765,30.3588672199316,266.718231703062,399.5,1
"337519730",139.413483,-66.866157,789,31.3302076122948,266.565781140717,279.17,1
"337519730.1",139.413483,-66.866157,789,31.3302076122948,266.565781140717,260,1
"337450855",139.386749,-66.880363,835,33.2469670755455,266.286855694416,533.33,1
"337416379",139.375931,-66.889015,862,34.2950529454749,266.127314025104,274,1
"337381780",139.3638,-66.896553,882,35.2393056992143,265.991838948965,305.83,1
"337347082",139.354141,-66.905105,902.5,36.266700725403,265.845607844585,956.6,1
"337312369",139.341415,-66.911621,920.5,37.1122447666301,265.735599053793,217.83,1
"337277651",139.331818,-66.920227,937.5,38.1467702414151,265.598942049072,597.67,1
"337242908",139.317398,-66.927711,950.5,39.1207460722468,265.482136335104,824.83,1
"337208112",139.304123,-66.935859,962.5,40.1543660944946,265.361204243942,265.5,1
"337137978",139.279938,-66.949951,979.5,41.9630401350956,265.163939905332,383.83,1
"337067231",139.256668,-66.965805,994.5,43.9519902720423,264.962084952326,630.5,1
"336996379",139.231918,-66.980636,1010.5,45.8577936786985,264.788915931987,318.83,1
"336925448",139.209412,-66.996376,1028.5,47.8316954310854,264.623697977136,137,1
"336854516",139.18074,-67.010131,1048.5,49.6917039883407,264.489208295461,371.17,1
"336783398",139.157898,-67.025962,1068.5,51.6867638321887,264.353089903726,644.5,1
"336711975",139.136581,-67.041801,1102.5,53.6609335708053,264.231951388375,333.2,1
"336640201",139.112869,-67.057273,1156.5,55.6353471761012,264.125164175349,354.4,1
"336568174",139.088043,-67.072456,1190.5,57.599534700104,264.030721480734,133.2,1
"336495933",139.063644,-67.087738,1208.5,59.5694259415227,263.945738014344,363.4,1
"336401776",139.039551,-67.108924,1228.5,62.1245266387249,263.847117655795,278.2,1
"336314640",139.016449,-67.130058,1246.5,64.5334703583319,263.764063432507,303.8,1
"336220066",138.992218,-67.15158,1264.5,66.9936601294541,263.691791749095,372.8,1
"336132722",138.96875,-67.172988,1278.5,69.4445276400283,263.630619887713,47.8,1
"336037938",138.944916,-67.194412,1295.5,71.9084012143567,263.577216515073,170,1
"335950155",138.921722,-67.215286,1320.5,74.2912736676757,263.530900030526,375.8,1
"335854983",138.896973,-67.237007,1350.5,76.6477298707762,263.485990587566,382.4,1
"335766721",138.874146,-67.257766,1375.5,78.8876557249017,263.423437846946,450,1
"335677340",138.851578,-67.279335,1392.5,81.2341905194637,263.387020413047,259.8,1
"335587222",138.827225,-67.29985,1412.5,83.4758934735415,263.346259870256,515.2,1
"335489157",138.803146,-67.320846,1440.5,85.7865327486604,263.301964295028,124.4,1
"335398406",138.780975,-67.341987,1466.5,88.1274070536302,263.256529103933,190,1
"335307460",138.757523,-67.363243,1483.5,90.4922570267209,263.203781840237,488.2,1
"335215752",138.733871,-67.3833,1507.5,92.7350998782737,263.146281433968,264.6,1
"335108641",138.684479,-67.398948,1537.5,94.5368164164444,263.030350408679,141.75,1
"335009067",138.630768,-67.411483,1554.5,96.0503793525476,262.915581664645,360,1
"334917023",138.579102,-67.42337,1569.5,97.5366435661865,262.825807537099,310.4,1
"334824815",138.527097,-67.433709,1582.5,98.8994538916501,262.760447440181,269.25,1
"334732387",138.476996,-67.445195,1598.5,100.423496508533,262.717691654514,227.5,1
"334639350",138.426573,-67.456521,1603.5,101.971421182193,262.688931956663,308.67,1
"334546206",138.374501,-67.467425,1625.5,103.52321033207,262.673829315227,261.75,1
"334445338",138.3261,-67.48021,1644.5,105.285983457374,262.666175763918,148,1
"334360020",138.275311,-67.490328,1648.5,106.798333556494,262.662259023618,166.5,1
"334267016",138.225423,-67.501976,1651.5,108.503647600065,262.66033129512,22.25,1
"334174025",138.175493,-67.512683,1648.5,110.138498389603,262.659759465534,208,1
"334081021",138.123259,-67.524281,1642.5,111.923951649309,262.659571409328,291,1
"333988015",138.07516,-67.535525,1676.5,113.48905561087,262.659528915925,223,1
"333895078",138.022617,-67.546322,1725.5,115.03563905118,262.659520972913,545.333,1
"333802246",137.973824,-67.558242,1735.5,116.710977950002,262.659476990687,313,1
"333709452",137.921136,-67.56938,1732.5,118.363379616814,262.659367326278,64,1
"333616642",137.867124,-67.579185,1739.5,119.916728701811,262.65901410733,280,1
"333523793",137.820931,-67.591877,1751.5,121.738096016212,262.658106322445,302.25,1
"333430872",137.769781,-67.603462,1760.5,123.513782201573,262.656042147786,167,1
"333329614",137.718554,-67.61475,1756.5,125.285222011188,262.651995510896,41.5,1
"333235431",137.669282,-67.626825,1763.5,127.143574061255,262.644817106786,62.5,1
"333109811",137.596807,-67.641944,1773.5,129.636014459439,262.626336312891,483.25,1
"332960425",137.524393,-67.660074,1808.5,132.493034464741,262.591805919053,453.25,1
"14949741",7.983333,-73.716666,3173,350.43545622355,248.053856236195,55.9,1
"39454689",22.466666,-76.066666,3575.5,613.406140244236,239.997015890964,28,1
"49349016",26.05,-77,3587,722.65249631175,238.696472410375,23.7,1
"65308250",32.85,-78.216666,3588.5,896.90614870192,237.448654081725,17.5,1
"71722727",35.633333,-78.65,3611.5,965.584534297323,236.622316587688,20.1,1
"101960328",44.85,-80.783333,3669.5,1211.17264477017,235.924879439012,16,1
"82411663",8.566666,-81.7,2452,860.167892342777,245.859619349243,49.2,1
"124706969",54.883333,-82.066666,3728.5,1399.19329307513,235.410242427595,26.1,1
"96272620",17.866666,-82.633333,2570,1013.80375339907,243.539447230038,37.6,1
"98880040",18.9,-82.816666,2596.5,1026.71522623382,243.639252058817,36.1,1
"114882216",21.9,-84.133333,2654,1059.8952911651,242.782497462381,45.3,1
"137398330",53.533333,-84.183333,3423.5,1403.18027570539,237.342911813256,30,1
"152724625",1.8,-87.85,2616.5,1071.23566486765,241.353000284114,63.4,1
"14971042",7.98,-73.72,3172,350.787295382908,248.054017317027,52,1
"49349016.1",26.05,-77,3587,722.65249631175,238.696472410375,22,1
"65342421",32.85,-78.22,3587.5,897.248521102927,237.448971527806,19,1
"101938224",44.85,-80.78,3669.5,1210.80919108946,235.925289706969,16,1
"137376946",53.53,-84.18,3423.5,1403.31445464384,237.342712671655,32,1
"29974694",-57.52334,-64.1419,1196.5,51.0762459836823,278.877462936779,206,1
"30889587",-57.789,-64.15911,1185.5,41.9422218573835,278.557097415257,488,1
"30139165",-57.52398,-64.17889,1167.5,53.3103419672521,278.876870686888,236,1
"30709344",-57.67759,-64.19614,1510.5,48.7003186345768,278.69683995264,377,1
"31492614",-57.918611,-64.199722,1114.5,40.8664670390811,278.308209055594,498,1
"30994876",-57.745555,-64.213055,1506.5,47.669452305603,278.580082651776,529,1
"30664311",-57.633333,-64.216666,1538.5,51.8205310049328,278.749278267451,481,1
"30994876.1",-57.745555,-64.213055,1506.5,47.669452305603,278.580082651776,604,1
"30634278",-57.628888,-64.214166,1546.5,51.7924703672318,278.755537888214,163.25,1
"30634278.1",-57.628888,-64.214166,1546.5,51.7924703672318,278.755537888214,130.6,1
"30634278.2",-57.628888,-64.214166,1546.5,51.7924703672318,278.755537888214,146,1
"31009927",-57.710277,-64.238055,1390.5,50.8660617780506,278.631826096607,466,1
"30679347",-57.588055,-64.250277,1119.5,55.9730958066991,278.823397287321,475,1
"31447325",-57.811666,-64.264722,1277.5,45.9142712636203,278.419027827412,726,1
"31100289",-57.67532,-64.28347,344.5,52.3663933726846,278.688653423366,630,1
"31809602",-57.90276,-64.27948,1092.5,41.4189449459603,278.242202367724,865,1
"31492677",-57.78394,-64.29401,1126.5,47.089831349495,278.459608092956,576,1
"30664311.1",-57.633333,-64.216666,1538.5,51.8205310049328,278.749278267451,490,1
"96217664",-68.28,-71.18,299,194.905402525417,273.544013020322,153,1
"98360558",-68,-71.87,27.5,187.642363286369,272.636298853296,261,1
"95865057",-67.08,-72.03,49,155.221851355181,272.409966048,536,1
"99622778",-67.98,-72.16,33,185.813391567223,272.644292445539,486,1
"284125435",112.333333,-66.5,1182.5,68.0380862076313,271.973197266878,142,1
"178669054",0,-90,2758,1249.30391261843,241.294325,76.5,1
"309820391",169.466,-78.128,9.5,67.4616864933102,262.028006409321,130,1
"308411028",170.493,-78.348,23,76.2038542546539,262.021922462732,140,1
"306498491",171.457,-78.613,26,91.6550485406731,261.76460368325,140,1
"306276881",172.735,-78.674,26,119.343484295512,261.630107654831,130,1
"305250911",170.502,-78.727,26,70.8942400316876,261.365935030337,190,1
"302347733",169.236,-78.998,28.5,56.7360328768503,261.097951605836,190,1
"300746320",165.549,-79.012,44,47.1159803735956,263.387521978839,130,1
"126717422",43,-84,3324.5,1300.28970098342,239.250897388443,40,1
"127429612",77.066666,-70.833333,1847,190.774023367136,262.532705396177,286,1
"133596386",77.933333,-72.016666,2351.5,321.13412012616,255.426213908974,118,1
"139607380",76.833333,-75.716666,2800,732.92149355245,249.811834274061,12,1
"147095126",77,-78.333333,3364,1023.55948749719,242.31215586079,62,1
"148849202",77,-79,3726,1097.66623227981,237.742859503012,26,1
"153140241",77.35,-80.366666,4086.5,1249.49122686366,234.316465993635,19,1
